基金名称,代码,类型,市值,单位净值,份额,持有盈亏,收益率
天弘通利混合A,000573,混合-灵活,1944.21,2.5620,758.86,-4.45,-0.25%
鹏华畅享债券C,015257,债券-混债,6566.52,1.1635,5643.77,+266.52,+4.23%
国泰黄金ETF联接A,000218,黄金,1485.10,3.1509,471.31,-234.90,-13.78%
天弘纳指100(QDII)C,018044,QDII-股票,1276.32,1.9920,640.72,+116.32,+10.03%
易方达证券ETF联接C,012700,股票-行业,1795.02,1.1344,1582.35,-4.98,-0.28%
华泰纳指100(QDII)A,019524,QDII-股票,2035.44,1.6280,1250.27,+163.77,+8.75%
平安光伏产业C,012723,股票-行业,900.41,0.5530,1628.23,-309.59,-25.59%
天弘高端制造(QDII)C,016665,QDII-混合,475.48,2.9477,161.31,-144.52,-24.09%
华泰中证2000增强C,019924,股票-指增,2042.15,1.7311,1179.68,-505.97,-19.86%
招商TMT50联接A,217019,股票-行业,308.16,3.6469,84.50,+25.17,+8.89%
易方达创新药ETF联接C,024329,股票-行业,2180.54,0.8830,2469.47,-40.96,-1.84%
景顺长城衡瑞精选,026376,混合-偏股,793.58,0.9628,824.21,-106.42,-11.82%
中银稳健增利债券A,163806,债券-混债,4625.49,1.2405,3728.72,+145.49,+3.25%
华夏半导体芯片ETF联接C,008888,股票-行业,750.98,2.0817,360.75,-104.14,-12.18%
