entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,label,segment
2021-09-02,2021-10-13,long,88000,0.8014,0.73,-6322.43,-8.91,22.0,sz159995,芯片ETF,止损-8%,full
2021-10-22,2022-01-28,long,84700,0.7796,0.71,-5935.85,-8.93,69.0,sz159995,芯片ETF,止损-8%,full
2022-02-15,2022-04-07,long,90400,0.684,0.61,-6728.09,-10.82,35.0,sz159995,芯片ETF,止损-8%,full
2022-04-18,2022-04-26,long,103500,0.552,0.51,-4376.97,-7.6,6.0,sz159995,芯片ETF,止损-8%,full
2022-05-10,2022-06-07,long,24500,0.5502,0.62,1702.66,12.7,19.0,sz159995,芯片ETF,止盈+10%卖25%,full
2022-05-10,2022-10-10,long,73800,0.5502,0.5,-3724.51,-9.12,102.0,sz159995,芯片ETF,止损-8%,full
2022-10-19,2022-11-16,long,26100,0.5027,0.56,1486.32,11.39,20.0,sz159995,芯片ETF,止盈+10%卖25%,full
2022-10-19,2023-04-06,long,19600,0.5027,0.61,2095.87,21.34,114.0,sz159995,芯片ETF,止盈+20%卖25%,full
2022-10-19,2023-08-28,long,58900,0.5027,0.49,-767.59,-2.53,211.0,sz159995,芯片ETF,止损-8%,full
2023-09-06,2023-12-27,long,111100,0.4913,0.45,-4623.37,-8.41,74.0,sz159995,芯片ETF,止损-8%,full
2024-01-08,2024-01-31,long,121900,0.4213,0.37,-6282.94,-12.18,17.0,sz159995,芯片ETF,止损-8%,full
2024-02-19,2024-03-04,long,29100,0.4027,0.45,1368.12,11.74,10.0,sz159995,芯片ETF,止盈+10%卖25%,full
2024-02-19,2024-09-24,long,87400,0.4027,0.38,-2007.09,-5.64,148.0,sz159995,芯片ETF,止损-8%,full
2024-10-10,2024-10-14,long,32900,0.6,0.53,-2314.15,-11.67,2.0,sz159995,芯片ETF,止损-8%,full
2024-10-23,2024-11-12,long,19000,0.5872,0.68,1756.07,15.8,14.0,sz159995,芯片ETF,止盈+10%卖25%,full
2024-10-23,2025-08-25,long,14300,0.5872,0.8,3037.16,36.24,206.0,sz159995,芯片ETF,止盈+20%卖25%,full
2024-10-23,2025-08-26,long,10700,0.5872,0.78,2058.62,32.83,207.0,sz159995,芯片ETF,止盈+35%卖25%,full
2024-10-23,2025-09-05,long,32300,0.5872,0.74,4922.73,26.02,215.0,sz159995,芯片ETF,奔跑仓出清(破20日线或回撤≥8%),full
2025-09-16,2025-10-09,long,15500,0.8552,0.97,1771.14,13.43,11.0,sz159995,芯片ETF,止盈+10%卖25%,full
2025-09-16,2026-01-22,long,11600,0.8552,1.05,2253.22,22.78,84.0,sz159995,芯片ETF,止盈+20%卖25%,full
2025-09-16,2026-05-12,long,8700,0.8552,1.15,2559.66,34.47,152.0,sz159995,芯片ETF,止盈+35%卖25%,full
2025-09-16,2026-06-01,long,26300,0.8552,1.24,10104.1,45.0,166.0,sz159995,芯片ETF,奔跑仓出清(破20日线或回撤≥8%),full
2026-06-10,2026-06-18,long,13000,1.2413,1.35,1403.46,8.76,6.0,sz159995,芯片ETF,止盈+10%卖25%,full
2026-06-10,2026-06-25,long,9800,1.2413,1.53,2821.46,23.26,10.0,sz159995,芯片ETF,止盈+20%卖25%,full
2026-06-10,2026-07-01,long,7300,1.2413,1.7,3342.33,36.96,14.0,sz159995,芯片ETF,止盈+35%卖25%,full
2026-06-10,2026-07-03,long,22100,1.2413,1.47,5037.08,18.43,16.0,sz159995,芯片ETF,奔跑仓出清(破20日线或回撤≥8%),full
2026-07-14,2026-07-17,long,38700,1.3749,1.28,-3702.82,-6.9,3.0,sz159995,芯片ETF,止损-8%,full
2026-08-03,2026-08-18,long,15700,1.1307,1.27,2174.96,12.32,11.0,sz159995,芯片ETF,止盈+10%卖25%,full
2026-08-03,2026-08-26,long,47200,1.1307,1.131,-20.1,0.02,,sz159995,芯片ETF,期末强制平仓,full
2021-09-02,2021-10-13,long,88000,0.8014,0.73,-6322.43,-8.91,22.0,sz159995,芯片ETF,止损-8%,seg1
2021-10-22,2022-01-28,long,84700,0.7796,0.71,-5935.85,-8.93,69.0,sz159995,芯片ETF,止损-8%,seg1
2022-02-15,2022-04-07,long,90400,0.684,0.61,-6728.09,-10.82,35.0,sz159995,芯片ETF,止损-8%,seg1
2022-04-18,2022-04-26,long,103500,0.552,0.51,-4376.97,-7.6,6.0,sz159995,芯片ETF,止损-8%,seg1
2022-05-10,2022-06-07,long,24500,0.5502,0.62,1702.66,12.7,19.0,sz159995,芯片ETF,止盈+10%卖25%,seg1
2022-05-10,2022-10-10,long,73800,0.5502,0.5,-3724.51,-9.12,102.0,sz159995,芯片ETF,止损-8%,seg1
2022-10-19,2022-11-16,long,26100,0.5027,0.56,1486.32,11.39,20.0,sz159995,芯片ETF,止盈+10%卖25%,seg1
2022-10-19,2023-04-06,long,19600,0.5027,0.61,2095.87,21.34,114.0,sz159995,芯片ETF,止盈+20%卖25%,seg1
2022-10-19,2023-08-28,long,58900,0.5027,0.49,-767.59,-2.53,211.0,sz159995,芯片ETF,止损-8%,seg1
2023-09-04,2023-10-24,long,141000,0.5001,0.46,-5691.61,-8.01,30.0,sz159995,芯片ETF,止损-8%,seg2
2023-11-02,2023-12-08,long,132200,0.5029,0.46,-5714.19,-8.54,26.0,sz159995,芯片ETF,止损-8%,seg2
2023-12-19,2024-01-09,long,135800,0.4601,0.42,-5476.85,-8.71,14.0,sz159995,芯片ETF,止损-8%,seg2
2024-01-18,2024-01-31,long,145600,0.4027,0.37,-4798.75,-8.13,9.0,sz159995,芯片ETF,止损-8%,seg2
2024-02-19,2024-03-04,long,34300,0.4027,0.45,1612.73,11.74,10.0,sz159995,芯片ETF,止盈+10%卖25%,seg2
2024-02-19,2024-09-24,long,102900,0.4027,0.38,-2362.66,-5.64,148.0,sz159995,芯片ETF,止损-8%,seg2
2024-10-10,2024-10-14,long,38700,0.6,0.53,-2722.12,-11.67,2.0,sz159995,芯片ETF,止损-8%,seg2
2024-10-23,2024-11-12,long,22400,0.5872,0.68,2070.52,15.81,14.0,sz159995,芯片ETF,止盈+10%卖25%,seg2
2024-10-23,2025-08-25,long,16800,0.5872,0.8,3568.29,36.24,206.0,sz159995,芯片ETF,止盈+20%卖25%,seg2
2024-10-23,2025-08-26,long,12600,0.5872,0.78,2424.29,32.84,207.0,sz159995,芯片ETF,止盈+35%卖25%,seg2
2024-10-23,2025-09-05,long,38100,0.5872,0.74,5807.05,26.02,215.0,sz159995,芯片ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2025-09-16,2025-10-09,long,18200,0.8552,0.97,2079.67,13.43,11.0,sz159995,芯片ETF,止盈+10%卖25%,seg2
2025-09-16,2026-01-22,long,13700,0.8552,1.05,2661.14,22.78,84.0,sz159995,芯片ETF,止盈+20%卖25%,seg2
2025-09-16,2026-05-12,long,10300,0.8552,1.15,3030.4,34.47,152.0,sz159995,芯片ETF,止盈+35%卖25%,seg2
2025-09-16,2026-06-01,long,30900,0.8552,1.24,11871.37,45.0,166.0,sz159995,芯片ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2026-06-10,2026-06-18,long,15300,1.2413,1.35,1650.46,8.75,6.0,sz159995,芯片ETF,止盈+10%卖25%,seg2
2026-06-10,2026-06-25,long,11500,1.2413,1.53,3309.92,23.25,10.0,sz159995,芯片ETF,止盈+20%卖25%,seg2
2026-06-10,2026-07-01,long,8600,1.2413,1.7,3936.8,36.95,14.0,sz159995,芯片ETF,止盈+35%卖25%,seg2
2026-06-10,2026-07-03,long,26100,1.2413,1.47,5946.55,18.42,16.0,sz159995,芯片ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2026-07-14,2026-07-17,long,45600,1.3747,1.28,-4354.32,-6.89,3.0,sz159995,芯片ETF,止损-8%,seg2
2026-08-03,2026-08-18,long,18500,1.1307,1.27,2564.19,12.32,11.0,sz159995,芯片ETF,止盈+10%卖25%,seg2
2026-08-03,2026-08-26,long,55600,1.1307,1.131,-19.64,0.03,,sz159995,芯片ETF,期末强制平仓,seg2
2021-09-02,2021-10-29,long,58700,1.2006,1.1,-5947.51,-8.38,34.0,sh512880,证券ETF,止损-8%,full
2021-11-09,2022-02-25,long,59300,1.1188,1.03,-5301.23,-7.93,72.0,sh512880,证券ETF,止损-8%,full
2022-03-08,2022-04-27,long,65900,0.9485,0.83,-7842.16,-12.49,34.0,sh512880,证券ETF,止损-8%,full
2022-05-11,2022-06-15,long,16400,0.8659,0.99,2026.81,14.34,24.0,sh512880,证券ETF,止盈+10%卖25%,full
2022-05-11,2023-08-04,long,12300,0.8659,1.08,2626.77,24.73,303.0,sh512880,证券ETF,止盈+20%卖25%,full
2022-05-11,2024-07-01,long,37200,0.8659,0.78,-3212.26,-9.92,520.0,sh512880,证券ETF,止损-8%,full
2024-07-10,2024-09-25,long,18800,0.7685,0.88,2087.84,14.52,53.0,sh512880,证券ETF,止盈+10%卖25%,full
2024-07-10,2024-09-27,long,14100,0.7685,0.97,2834.5,26.23,55.0,sh512880,证券ETF,止盈+20%卖25%,full
2024-07-10,2024-10-08,long,10600,0.7685,1.22,4780.1,58.76,57.0,sh512880,证券ETF,止盈+35%卖25%,full
2024-07-10,2024-10-11,long,32000,0.7685,1.1,10591.65,43.15,60.0,sh512880,证券ETF,奔跑仓出清(破20日线或回撤≥8%),full
2024-10-22,2024-11-06,long,15900,1.133,1.28,2326.46,12.98,11.0,sh512880,证券ETF,止盈+10%卖25%,full
2024-10-22,2024-11-08,long,12000,1.133,1.39,3075.42,22.69,13.0,sh512880,证券ETF,止盈+20%卖25%,full
2024-10-22,2025-04-08,long,36000,1.133,0.99,-5169.41,-12.62,112.0,sh512880,证券ETF,止损-8%,full
2025-04-17,2025-06-26,long,17600,1.0257,1.16,2351.64,13.09,46.0,sh512880,证券ETF,止盈+10%卖25%,full
2025-04-17,2025-07-29,long,13200,1.0257,1.23,2687.45,19.91,69.0,sh512880,证券ETF,止盈+20%卖25%,full
2025-04-17,2026-08-26,long,39900,1.0257,1.096,2778.44,6.85,,sh512880,证券ETF,期末强制平仓,full
2021-09-02,2021-10-29,long,58700,1.2006,1.1,-5947.51,-8.38,34.0,sh512880,证券ETF,止损-8%,seg1
2021-11-09,2022-02-25,long,59300,1.1188,1.03,-5301.23,-7.93,72.0,sh512880,证券ETF,止损-8%,seg1
2022-03-08,2022-04-27,long,65900,0.9485,0.83,-7842.16,-12.49,34.0,sh512880,证券ETF,止损-8%,seg1
2022-05-11,2022-06-15,long,16400,0.8659,0.99,2026.81,14.34,24.0,sh512880,证券ETF,止盈+10%卖25%,seg1
2022-05-11,2023-08-04,long,12300,0.8659,1.08,2626.77,24.73,303.0,sh512880,证券ETF,止盈+20%卖25%,seg1
2022-05-11,2023-08-31,long,37200,0.8659,0.97,3853.62,12.03,,sh512880,证券ETF,期末强制平仓,seg1
2023-09-04,2023-12-27,long,72900,0.967,0.88,-6383.39,-9.0,76.0,sh512880,证券ETF,止损-8%,seg2
2024-01-08,2024-07-01,long,76900,0.8584,0.78,-6064.8,-9.13,113.0,sh512880,证券ETF,止损-8%,seg2
2024-07-10,2024-09-25,long,20000,0.7684,0.88,2221.24,14.52,53.0,sh512880,证券ETF,止盈+10%卖25%,seg2
2024-07-10,2024-09-27,long,15000,0.7684,0.97,3015.53,26.23,55.0,sh512880,证券ETF,止盈+20%卖25%,seg2
2024-07-10,2024-10-08,long,11300,0.7684,1.22,5095.85,58.76,57.0,sh512880,证券ETF,止盈+35%卖25%,seg2
2024-07-10,2024-10-11,long,34000,0.7684,1.1,11253.87,43.15,60.0,sh512880,证券ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2024-10-22,2024-11-06,long,16900,1.133,1.28,2472.74,12.98,11.0,sh512880,证券ETF,止盈+10%卖25%,seg2
2024-10-22,2024-11-08,long,12700,1.133,1.39,3254.79,22.69,13.0,sh512880,证券ETF,止盈+20%卖25%,seg2
2024-10-22,2025-04-08,long,38300,1.133,0.99,-5499.77,-12.62,112.0,sh512880,证券ETF,止损-8%,seg2
2025-04-17,2025-06-26,long,18800,1.0257,1.16,2511.92,13.09,46.0,sh512880,证券ETF,止盈+10%卖25%,seg2
2025-04-17,2025-07-29,long,14100,1.0257,1.23,2870.65,19.91,69.0,sh512880,证券ETF,止盈+20%卖25%,seg2
2025-04-17,2026-08-26,long,42300,1.0257,1.096,2945.44,6.85,,sh512880,证券ETF,期末强制平仓,seg2
2021-09-02,2021-10-28,long,63200,1.1152,1.01,-6691.29,-9.44,33.0,sh515180,红利ETF,止损-8%,full
2021-11-08,2022-02-22,long,16700,0.9828,1.08,1613.73,9.9,70.0,sh515180,红利ETF,止盈+10%卖25%,full
2021-11-08,2023-05-05,long,12500,0.9828,1.18,2457.51,20.07,361.0,sh515180,红利ETF,止盈+20%卖25%,full
2021-11-08,2024-10-08,long,9400,0.9828,1.48,4667.2,50.6,705.0,sh515180,红利ETF,止盈+35%卖25%,full
2021-11-08,2024-10-10,long,28300,0.9828,1.25,7544.21,27.19,707.0,sh515180,红利ETF,奔跑仓出清(破20日线或回撤≥8%),full
2024-10-21,2025-11-07,long,14900,1.2912,1.42,1906.69,9.97,256.0,sh515180,红利ETF,止盈+10%卖25%,full
2024-10-21,2026-08-26,long,44900,1.2912,1.455,7316.7,12.68,,sh515180,红利ETF,期末强制平仓,full
2021-09-02,2021-10-28,long,63200,1.1152,1.01,-6691.29,-9.44,33.0,sh515180,红利ETF,止损-8%,seg1
2021-11-08,2022-02-22,long,16700,0.9828,1.08,1613.73,9.9,70.0,sh515180,红利ETF,止盈+10%卖25%,seg1
2021-11-08,2023-05-05,long,12500,0.9828,1.18,2457.51,20.07,361.0,sh515180,红利ETF,止盈+20%卖25%,seg1
2021-11-08,2023-08-31,long,37700,0.9828,1.13,5527.42,14.98,,sh515180,红利ETF,期末强制平仓,seg1
2023-09-04,2024-04-18,long,15300,1.15,1.27,1824.89,10.43,148.0,sh515180,红利ETF,止盈+10%卖25%,seg2
2023-09-04,2025-07-23,long,11400,1.15,1.4,2841.28,21.74,454.0,sh515180,红利ETF,止盈+20%卖25%,seg2
2023-09-04,2026-08-26,long,34500,1.15,1.455,10495.54,26.52,,sh515180,红利ETF,期末强制平仓,seg2
2021-09-02,2022-03-10,long,4700,3.6846,3.89,954.91,5.58,122.0,sh518880,黄金ETF,止盈+10%卖25%,full
2021-09-02,2023-07-20,long,3600,3.6846,4.48,2854.78,21.59,453.0,sh518880,黄金ETF,止盈+20%卖25%,full
2021-09-02,2024-03-22,long,2700,3.6846,4.94,3382.72,34.07,616.0,sh518880,黄金ETF,止盈+35%卖25%,full
2021-09-02,2024-04-24,long,8100,3.6846,5.28,12901.32,43.3,637.0,sh518880,黄金ETF,奔跑仓出清(破20日线或回撤≥8%),full
2024-05-08,2024-10-17,long,3900,5.3355,5.89,2149.39,10.39,108.0,sh518880,黄金ETF,止盈+10%卖25%,full
2024-05-08,2025-02-06,long,2900,5.3355,6.44,3192.79,20.7,181.0,sh518880,黄金ETF,止盈+20%卖25%,full
2024-05-08,2025-04-14,long,2200,5.3355,7.3,4313.55,36.82,227.0,sh518880,黄金ETF,止盈+35%卖25%,full
2024-05-08,2025-05-13,long,6800,5.3355,7.29,13264.8,36.63,245.0,sh518880,黄金ETF,奔跑仓出清(破20日线或回撤≥8%),full
2025-05-22,2025-09-25,long,3300,7.4399,8.16,2361.05,9.68,89.0,sh518880,黄金ETF,止盈+10%卖25%,full
2025-05-22,2025-10-15,long,2500,7.4399,9.14,4237.94,22.85,97.0,sh518880,黄金ETF,止盈+20%卖25%,full
2025-05-22,2026-01-21,long,1900,7.4399,10.37,5557.13,39.38,165.0,sh518880,黄金ETF,止盈+35%卖25%,full
2025-05-22,2026-02-03,long,5800,7.4399,10.36,16905.89,39.25,174.0,sh518880,黄金ETF,奔跑仓出清(破20日线或回撤≥8%),full
2026-02-12,2026-03-23,long,11000,10.9604,9.49,-16241.49,-13.42,21.0,sh518880,黄金ETF,止损-8%,full
2026-04-01,2026-05-29,long,11000,9.9341,9.39,-6048.77,-5.48,38.0,sh518880,黄金ETF,止损-8%,full
2026-06-09,2026-08-26,long,11800,8.8979,9.517,7240.41,6.96,,sh518880,黄金ETF,期末强制平仓,full
2021-09-02,2022-03-10,long,4700,3.6846,3.89,954.91,5.58,122.0,sh518880,黄金ETF,止盈+10%卖25%,seg1
2021-09-02,2023-07-20,long,3600,3.6846,4.48,2854.78,21.59,453.0,sh518880,黄金ETF,止盈+20%卖25%,seg1
2021-09-02,2023-08-31,long,10800,3.6846,4.49,8672.32,21.86,,sh518880,黄金ETF,期末强制平仓,seg1
2023-09-04,2024-03-22,long,3800,4.5098,4.94,1623.96,9.54,131.0,sh518880,黄金ETF,止盈+10%卖25%,seg2
2023-09-04,2024-04-15,long,2900,4.5098,5.39,2543.95,19.52,145.0,sh518880,黄金ETF,止盈+20%卖25%,seg2
2023-09-04,2024-10-31,long,2200,4.5098,6.14,3579.4,36.15,277.0,sh518880,黄金ETF,止盈+35%卖25%,seg2
2023-09-04,2024-11-08,long,6600,4.5098,5.93,9352.61,31.49,283.0,sh518880,黄金ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2024-11-19,2025-02-11,long,3500,5.8708,6.63,2644.12,12.93,53.0,sh518880,黄金ETF,止盈+10%卖25%,seg2
2024-11-19,2025-04-02,long,2600,5.8708,7.07,3107.86,20.43,89.0,sh518880,黄金ETF,止盈+20%卖25%,seg2
2024-11-19,2025-04-23,long,1900,5.8708,7.76,3581.74,32.18,103.0,sh518880,黄金ETF,止盈+35%卖25%,seg2
2024-11-19,2025-05-13,long,6000,5.8708,7.29,8491.6,24.17,114.0,sh518880,黄金ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2025-05-22,2025-09-25,long,3100,7.4402,8.16,2216.76,9.67,89.0,sh518880,黄金ETF,止盈+10%卖25%,seg2
2025-05-22,2025-10-15,long,2400,7.4402,9.14,4067.5,22.85,97.0,sh518880,黄金ETF,止盈+20%卖25%,seg2
2025-05-22,2026-01-21,long,1800,7.4402,10.37,5263.96,39.38,165.0,sh518880,黄金ETF,止盈+35%卖25%,seg2
2025-05-22,2026-02-03,long,5400,7.4402,10.36,15737.89,39.24,174.0,sh518880,黄金ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2026-02-12,2026-03-23,long,10400,10.9636,9.49,-15388.82,-13.44,21.0,sh518880,黄金ETF,止损-8%,seg2
2026-04-01,2026-05-29,long,10300,9.9335,9.39,-5657.71,-5.47,38.0,sh518880,黄金ETF,止损-8%,seg2
2026-06-09,2026-08-26,long,11100,8.8975,9.517,6815.38,6.96,,sh518880,黄金ETF,期末强制平仓,seg2
2021-09-02,2022-01-25,long,67900,1.0372,0.94,-6640.28,-9.37,94.0,sh513100,纳指ETF,止损-8%,full
2022-02-10,2022-02-25,long,69400,0.9477,0.9,-3346.47,-5.03,11.0,sh513100,纳指ETF,止损-8%,full
2022-03-08,2022-03-24,long,18200,0.87,0.94,1264.12,8.05,12.0,sh513100,纳指ETF,止盈+10%卖25%,full
2022-03-08,2022-06-14,long,54700,0.87,0.79,-4403.24,-9.2,64.0,sh513100,纳指ETF,止损-8%,full
2022-06-23,2022-08-05,long,18800,0.813,0.92,2002.05,13.16,31.0,sh513100,纳指ETF,止盈+10%卖25%,full
2022-06-23,2023-05-22,long,14100,0.813,0.99,2488.24,21.77,221.0,sh513100,纳指ETF,止盈+20%卖25%,full
2022-06-23,2023-06-19,long,10600,0.813,1.1,3036.24,35.3,241.0,sh513100,纳指ETF,止盈+35%卖25%,full
2022-06-23,2023-08-04,long,31800,0.813,1.12,9744.54,37.76,273.0,sh513100,纳指ETF,奔跑仓出清(破20日线或回撤≥8%),full
2023-08-15,2023-12-21,long,16600,1.1054,1.2,1559.52,8.56,86.0,sh513100,纳指ETF,止盈+10%卖25%,full
2023-08-15,2024-03-05,long,12400,1.1054,1.33,2776.46,20.32,132.0,sh513100,纳指ETF,止盈+20%卖25%,full
2023-08-15,2024-07-04,long,9300,1.1054,1.52,3848.81,37.51,213.0,sh513100,纳指ETF,止盈+35%卖25%,full
2023-08-15,2024-07-19,long,28100,1.1054,1.48,10505.55,33.89,224.0,sh513100,纳指ETF,奔跑仓出清(破20日线或回撤≥8%),full
2024-07-30,2024-08-06,long,44200,1.4159,1.34,-3389.54,-5.36,5.0,sh513100,纳指ETF,止损-8%,full
2024-08-15,2024-12-06,long,14500,1.4429,1.58,1975.32,9.5,74.0,sh513100,纳指ETF,止盈+10%卖25%,full
2024-08-15,2025-04-08,long,43800,1.4429,1.31,-5855.64,-9.21,153.0,sh513100,纳指ETF,止损-8%,full
2025-04-17,2025-05-15,long,14600,1.39,1.56,2469.08,12.23,17.0,sh513100,纳指ETF,止盈+10%卖25%,full
2025-04-17,2025-07-28,long,11000,1.39,1.68,3179.87,20.86,68.0,sh513100,纳指ETF,止盈+20%卖25%,full
2025-04-17,2025-10-23,long,8200,1.39,1.87,3927.98,34.53,125.0,sh513100,纳指ETF,止盈+35%卖25%,full
2025-04-17,2025-11-17,long,24800,1.39,1.94,13615.22,39.57,142.0,sh513100,纳指ETF,奔跑仓出清(破20日线或回撤≥8%),full
2025-11-26,2026-03-05,long,50600,1.9323,1.79,-7258.51,-7.37,63.0,sh513100,纳指ETF,止损-8%,full
2026-03-16,2026-04-28,long,13200,1.7429,1.95,2718.6,11.88,30.0,sh513100,纳指ETF,止盈+10%卖25%,full
2026-03-16,2026-05-12,long,9900,1.7429,2.1,3523.5,20.49,37.0,sh513100,纳指ETF,止盈+20%卖25%,full
2026-03-16,2026-06-02,long,7500,1.7429,2.36,4618.73,35.4,52.0,sh513100,纳指ETF,止盈+35%卖25%,full
2026-03-16,2026-06-09,long,22500,1.7429,2.15,9132.62,23.35,57.0,sh513100,纳指ETF,奔跑仓出清(破20日线或回撤≥8%),full
2026-06-18,2026-07-31,long,48000,2.2219,2.11,-5434.38,-5.04,30.0,sh513100,纳指ETF,止损-8%,full
2026-08-11,2026-08-26,long,46000,2.2346,2.203,-1513.24,-1.41,,sh513100,纳指ETF,期末强制平仓,full
2021-09-02,2022-01-25,long,67900,1.0372,0.94,-6640.28,-9.37,94.0,sh513100,纳指ETF,止损-8%,seg1
2022-02-10,2022-02-25,long,69400,0.9477,0.9,-3346.47,-5.03,11.0,sh513100,纳指ETF,止损-8%,seg1
2022-03-08,2022-03-24,long,18200,0.87,0.94,1264.12,8.05,12.0,sh513100,纳指ETF,止盈+10%卖25%,seg1
2022-03-08,2022-06-14,long,54700,0.87,0.79,-4403.24,-9.2,64.0,sh513100,纳指ETF,止损-8%,seg1
2022-06-23,2022-08-05,long,18800,0.813,0.92,2002.05,13.16,31.0,sh513100,纳指ETF,止盈+10%卖25%,seg1
2022-06-23,2023-05-22,long,14100,0.813,0.99,2488.24,21.77,221.0,sh513100,纳指ETF,止盈+20%卖25%,seg1
2022-06-23,2023-06-19,long,10600,0.813,1.1,3036.24,35.3,241.0,sh513100,纳指ETF,止盈+35%卖25%,seg1
2022-06-23,2023-08-04,long,31800,0.813,1.12,9744.54,37.76,273.0,sh513100,纳指ETF,奔跑仓出清(破20日线或回撤≥8%),seg1
2023-08-15,2023-08-31,long,66400,1.1054,1.14,2255.27,3.13,,sh513100,纳指ETF,期末强制平仓,seg1
2023-09-04,2024-01-23,long,15400,1.14,1.28,2144.82,12.28,94.0,sh513100,纳指ETF,止盈+10%卖25%,seg2
2023-09-04,2024-05-23,long,11600,1.14,1.38,2775.23,21.05,170.0,sh513100,纳指ETF,止盈+20%卖25%,seg2
2023-09-04,2024-07-09,long,8700,1.14,1.56,3646.95,36.84,202.0,sh513100,纳指ETF,止盈+35%卖25%,seg2
2023-09-04,2024-07-19,long,26100,1.14,1.48,8853.49,29.82,210.0,sh513100,纳指ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2024-07-30,2024-08-06,long,42200,1.4159,1.34,-3235.89,-5.36,5.0,sh513100,纳指ETF,止损-8%,seg2
2024-08-15,2024-12-06,long,13900,1.4429,1.58,1893.29,9.5,74.0,sh513100,纳指ETF,止盈+10%卖25%,seg2
2024-08-15,2025-04-08,long,41900,1.4429,1.31,-5602.5,-9.21,153.0,sh513100,纳指ETF,止损-8%,seg2
2025-04-17,2025-05-15,long,14000,1.39,1.56,2367.61,12.23,17.0,sh513100,纳指ETF,止盈+10%卖25%,seg2
2025-04-17,2025-07-28,long,10500,1.39,1.68,3035.33,20.86,68.0,sh513100,纳指ETF,止盈+20%卖25%,seg2
2025-04-17,2025-10-23,long,7800,1.39,1.87,3736.37,34.53,125.0,sh513100,纳指ETF,止盈+35%卖25%,seg2
2025-04-17,2025-11-17,long,23700,1.39,1.94,13011.32,39.57,142.0,sh513100,纳指ETF,奔跑仓出清(破20日线或回撤≥8%),seg2
2025-11-26,2026-03-05,long,48400,1.9323,1.79,-6942.05,-7.36,63.0,sh513100,纳指ETF,止损-8%,seg2
2026-03-16,2026-04-28,long,12700,1.7429,1.95,2616.43,11.88,30.0,sh513100,纳指ETF,止盈+10%卖25%,seg2
