date,sz159995_A,sz159995_B,sh512880_A,sh512880_B,sh515180_A,sh515180_B,sh518880_A,sh518880_B,sh513100_A,sh513100_B
2021-09-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-09-02,97743.42,97743.42,101763.42,101763.42,102090.62,102090.62,99915.81,99915.81,99873.92,99873.92
2021-09-03,97001.22,97001.22,100653.22,100653.22,101168.62,101168.62,99915.81,99915.81,99585.62,99585.62
2021-09-06,98980.42,98980.42,103813.02,103813.02,102551.62,102551.62,100484.91,100484.91,99873.92,99873.92
2021-09-07,99104.12,99104.12,106289.62,106289.62,104948.82,104948.82,100159.71,100159.71,99970.02,99970.02
2021-09-08,97867.12,97867.12,106204.22,106204.22,106147.42,106147.42,98994.41,98994.41,99873.92,99873.92
2021-09-09,97248.62,97248.62,105350.22,105350.22,109005.62,109005.62,98615.01,98615.01,99297.32,99297.32
2021-09-10,101207.02,101207.02,106716.62,106716.62,107253.82,107682.66,99184.11,99184.11,99009.02,99009.02
2021-09-13,97496.02,97496.02,107058.22,107058.22,109466.62,109343.46,98696.31,98696.31,98432.42,98432.42
2021-09-14,97867.12,97867.12,103813.02,103813.02,107253.82,107682.66,98804.71,98804.71,97855.82,97855.82
2021-09-15,97248.62,97248.62,103471.42,103471.42,107530.42,107890.26,99157.01,99157.01,97663.62,97663.62
2021-09-16,94032.42,94032.42,101336.42,101336.42,105502.02,106367.86,98316.91,98316.91,98144.12,98144.12
2021-09-17,94527.22,94527.22,102532.02,102532.02,103012.62,104499.46,97341.31,97341.31,98720.72,98720.72
2021-09-22,95516.82,95516.82,101763.42,101763.42,104672.22,105745.06,98642.11,98642.11,96318.22,96318.22
2021-09-23,97124.92,97124.92,103044.42,103044.42,105409.82,106298.66,97693.61,97693.61,97183.12,97183.12
2021-09-24,96382.72,96382.72,101592.62,101592.62,101353.02,103253.86,97178.71,97178.71,97375.32,97375.32
2021-09-27,96382.72,96382.72,98859.82,98859.82,97757.22,100555.06,97287.11,97287.11,97951.92,97951.92
2021-09-28,96382.72,96382.72,100397.02,100397.02,99232.42,101662.26,96528.31,96528.31,96222.12,96222.12
2021-09-29,94032.42,94032.42,99030.62,99030.62,95821.02,99101.86,96392.81,96392.81,94876.72,94876.72
2021-09-30,94650.92,94650.92,98859.82,98859.82,97480.62,100347.46,96013.41,96013.41,95068.92,95068.92
2021-10-08,94279.82,94279.82,99884.62,99884.62,97665.02,100485.86,97205.81,97205.81,94876.72,94876.72
2021-10-11,93413.92,93413.92,99286.82,99286.82,98126.02,100831.86,96826.41,96826.41,93819.62,93819.62
2021-10-12,90568.82,90568.82,96127.02,96127.02,96097.62,99309.46,97314.21,97314.21,93050.82,93050.82
2021-10-13,93042.82,93042.82,96639.42,96639.42,95544.42,98894.26,97287.11,97287.11,93243.02,93243.02
