symbol,symbol_name,strategy,entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,label
sz159995,芯片ETF华夏(半导体),旧档v3.3,2021-09-02,2025-09-25,long,41200,0.808,0.925,4808.97,14.48,985,+10%卖1/3
sz159995,芯片ETF华夏(半导体),旧档v3.3,2021-09-02,2025-10-10,long,41200,0.808,0.95,5838.66,17.57,990,+20%再卖1/3
sz159995,芯片ETF华夏(半导体),旧档v3.3,2021-09-02,2026-09-24,long,41300,0.808,1.132,13367.17,40.1,1226,期末强制平仓
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2025-09-23,long,30900,0.808,0.886,2401.99,9.65,983,+8%卖25%
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2025-09-26,long,30900,0.808,0.923,3544.94,14.23,986,+15%卖25%
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2026-01-22,long,30900,0.808,1.053,7560.74,30.32,1062,+25%卖25%
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2026-02-03,long,31000,0.808,0.972,5074.96,20.3,1070,奔跑仓出清(破20日线或回撤≥8%)
sh512880,证券ETF,旧档v3.3,2021-09-02,2024-11-08,long,28400,1.17,1.393,6321.33,19.06,768,+10%卖1/3
sh512880,证券ETF,旧档v3.3,2021-09-02,2026-09-24,long,57000,1.17,1.046,-7085.89,-10.6,1226,期末强制平仓
sh512880,证券ETF,新档v3.4,2021-09-02,2024-11-06,long,21300,1.17,1.275,2228.35,8.97,766,+8%卖25%
sh512880,证券ETF,新档v3.4,2021-09-02,2024-11-08,long,21300,1.17,1.393,4741.0,19.06,768,+15%卖25%
sh512880,证券ETF,新档v3.4,2021-09-02,2026-09-24,long,42800,1.17,1.046,-5320.63,-10.6,1226,期末强制平仓
sh515180,红利ETF易方达,旧档v3.3,2021-09-02,2023-05-09,long,30700,1.084,1.216,4041.2,12.18,403,+10%卖1/3
sh515180,红利ETF易方达,旧档v3.3,2021-09-02,2024-10-08,long,30700,1.084,1.483,12235.64,36.81,745,+20%再卖1/3
sh515180,红利ETF易方达,旧档v3.3,2021-09-02,2026-09-24,long,30800,1.084,1.409,9996.98,29.98,1226,期末强制平仓
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2021-09-10,long,23000,1.084,1.182,2245.84,9.04,6,+8%卖25%
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2024-04-16,long,23000,1.084,1.25,3809.37,15.31,631,+15%卖25%
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2024-10-09,long,23000,1.084,1.338,5832.77,23.43,746,+25%卖25%
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2026-09-24,long,23200,1.084,1.409,7530.19,29.98,1226,期末强制平仓
sh518880,黄金ETF,旧档v3.3,2021-09-02,2022-03-10,long,9000,3.689,3.89,1798.5,5.45,122,+10%卖1/3
sh518880,黄金ETF,旧档v3.3,2021-09-02,2023-07-20,long,9000,3.689,4.477,7079.91,21.36,453,+20%再卖1/3
sh518880,黄金ETF,旧档v3.3,2021-09-02,2026-09-24,long,9100,3.689,8.788,46376.91,138.22,1226,期末强制平仓
sh518880,黄金ETF,新档v3.4,2021-09-02,2022-03-09,long,6700,3.689,4.046,2383.77,9.68,121,+8%卖25%
sh518880,黄金ETF,新档v3.4,2021-09-02,2023-03-21,long,6700,3.689,4.32,4219.02,17.1,372,+15%卖25%
sh518880,黄金ETF,新档v3.4,2021-09-02,2023-11-01,long,6700,3.689,4.596,6067.66,24.59,521,+25%卖25%
sh518880,黄金ETF,新档v3.4,2021-09-02,2026-09-24,long,7000,3.689,8.788,35674.55,138.22,1226,期末强制平仓
sh513100,纳指ETF,旧档v3.3,2021-09-02,2023-07-20,long,32000,1.04,1.152,3572.94,10.77,452,+10%卖1/3
sh513100,纳指ETF,旧档v3.3,2021-09-02,2024-01-23,long,32000,1.04,1.277,7571.74,22.79,578,+20%再卖1/3
sh513100,纳指ETF,旧档v3.3,2021-09-02,2026-09-24,long,32100,1.04,2.312,40808.94,122.31,1225,期末强制平仓
sh513100,纳指ETF,新档v3.4,2021-09-02,2023-07-17,long,24000,1.04,1.126,2055.89,8.27,449,+8%卖25%
sh513100,纳指ETF,新档v3.4,2021-09-02,2023-12-15,long,24000,1.04,1.193,3663.41,14.71,552,+15%卖25%
sh513100,纳指ETF,新档v3.4,2021-09-02,2024-02-19,long,24000,1.04,1.296,6134.67,24.62,591,+25%卖25%
sh513100,纳指ETF,新档v3.4,2021-09-02,2024-03-20,long,24100,1.04,1.315,6617.99,26.44,613,奔跑仓出清(破20日线或回撤≥8%)
