date,sz159995_A,sz159995_B,sh512880_A,sh512880_B,sh515180_A,sh515180_B,sh518880_A,sh518880_B,sh513100_A,sh513100_B
2021-09-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-09-02,97502.01,97502.01,101678.02,101678.02,102745.03,102745.03,99970.0,99970.0,99970.02,99970.02
2021-09-03,96268.01,96268.01,100824.02,100824.02,101820.03,101820.03,99970.0,99970.0,99970.02,99970.02
2021-09-06,98736.01,98736.01,104240.02,104240.02,102745.03,102745.03,100512.0,100512.0,99970.02,99970.02
2021-09-07,98736.01,98736.01,105948.02,105948.02,105520.03,105520.03,100241.0,100241.0,99970.02,99970.02
2021-09-08,97502.01,97502.01,105948.02,105948.02,106445.03,106445.03,98886.0,98886.0,99970.02,99970.02
2021-09-09,97502.01,97502.01,105094.02,105094.02,109220.03,109220.03,98615.0,98615.0,99009.02,99009.02
2021-09-10,101204.01,101204.01,106802.02,106802.02,107370.03,107823.85,99157.0,99157.0,99009.02,99009.02
2021-09-13,97502.01,97502.01,106802.02,106802.02,110145.03,109905.85,98615.0,98615.0,98048.02,98048.02
2021-09-14,97502.01,97502.01,104240.02,104240.02,108590.94,107823.85,98886.0,98886.0,98048.02,98048.02
2021-09-15,97502.01,97502.01,103386.02,103386.02,109207.94,108517.85,99157.0,99157.0,98048.02,98048.02
2021-09-16,93800.01,93800.01,101678.02,101678.02,107356.94,106435.85,98344.0,98344.0,98048.02,98048.02
2021-09-17,93800.01,93800.01,102532.02,102532.02,106122.94,105047.85,97260.0,97260.0,99009.02,99009.02
2021-09-22,95034.01,95034.01,101678.02,101678.02,107356.94,106435.85,98615.0,98615.0,96126.02,96126.02
2021-09-23,96268.01,96268.01,103386.02,103386.02,107356.94,106435.85,97802.0,97802.0,97087.02,97087.02
2021-09-24,96268.01,96268.01,101678.02,101678.02,104888.94,103659.85,97260.0,97260.0,97087.02,97087.02
2021-09-27,96268.01,96268.01,99116.02,99116.02,102420.94,100883.85,97260.0,97260.0,98048.02,98048.02
2021-09-28,96268.01,96268.01,100824.02,100824.02,103654.94,102271.85,96447.0,96447.0,96126.02,96126.02
2021-09-29,93800.01,93800.01,99116.02,99116.02,101186.94,99495.85,96447.0,96447.0,95165.02,95165.02
2021-09-30,95034.01,95034.01,99116.02,99116.02,102420.94,100883.85,95905.0,95905.0,95165.02,95165.02
2021-10-08,93800.01,93800.01,99970.02,99970.02,102420.94,100883.85,97260.0,97260.0,95165.02,95165.02
2021-10-11,93800.01,93800.01,99116.02,99116.02,102420.94,100883.85,96718.0,96718.0,94204.02,94204.02
2021-10-12,90098.01,90098.01,96554.02,96554.02,101186.94,99495.85,97260.0,97260.0,93243.02,93243.02
2021-10-13,92566.01,92566.01,96554.02,96554.02,101186.94,99495.85,97260.0,97260.0,93243.02,93243.02
2021-10-14,93800.01,93800.01,96554.02,96554.02,100569.94,98801.85,98615.0,98615.0,94204.02,94204.02
2021-10-15,96268.01,96268.01,96554.02,96554.02,100569.94,98801.85,98344.0,98344.0,96126.02,96126.02
2021-10-18,95034.01,95034.01,96554.02,96554.02,102420.94,100883.85,96989.0,96989.0,96126.02,96126.02
2021-10-19,96268.01,96268.01,97408.02,97408.02,102420.94,100883.85,97260.0,97260.0,97087.02,97087.02
2021-10-20,96268.01,96268.01,96554.02,96554.02,101803.94,100189.85,96989.0,96989.0,97087.02,97087.02
