symbol,symbol_name,strategy,entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,label
sz159995,芯片ETF华夏(半导体),旧档v3.3,2021-09-02,2025-09-25,long,41100,0.81,0.93,4920.53,14.81,985,+10%卖1/3
sz159995,芯片ETF华夏(半导体),旧档v3.3,2021-09-02,2026-01-19,long,41100,0.81,1.0,7796.67,23.46,1059,+20%再卖1/3
sz159995,芯片ETF华夏(半导体),旧档v3.3,2021-09-02,2026-08-26,long,41200,0.81,1.131,13211.22,39.63,1205,期末强制平仓
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2025-09-23,long,30800,0.81,0.89,2455.78,9.88,983,+8%卖25%
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2025-10-09,long,30800,0.81,0.97,4919.04,19.75,989,+15%卖25%
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2026-01-22,long,30800,0.81,1.05,7382.3,29.63,1062,+25%卖25%
sz159995,芯片ETF华夏(半导体),新档v3.4,2021-09-02,2026-08-26,long,31000,0.81,1.131,9940.48,39.63,1205,期末强制平仓
sh512880,证券ETF,旧档v3.3,2021-09-02,2024-11-08,long,28400,1.17,1.39,6236.16,18.8,768,+10%卖1/3
sh512880,证券ETF,旧档v3.3,2021-09-02,2026-08-26,long,57000,1.17,1.096,-4236.74,-6.32,1205,期末强制平仓
sh512880,证券ETF,新档v3.4,2021-09-02,2024-11-06,long,21300,1.17,1.28,2334.82,9.4,766,+8%卖25%
sh512880,证券ETF,新档v3.4,2021-09-02,2024-11-08,long,21300,1.17,1.39,4677.12,18.8,768,+15%卖25%
sh512880,证券ETF,新档v3.4,2021-09-02,2026-08-26,long,42800,1.17,1.096,-3181.27,-6.32,1205,期末强制平仓
sh515180,红利ETF易方达,旧档v3.3,2021-09-02,2021-09-14,long,30800,1.08,1.2,3684.91,11.11,8,+10%卖1/3
sh515180,红利ETF易方达,旧档v3.3,2021-09-02,2024-05-22,long,30800,1.08,1.3,6763.99,20.37,654,+20%再卖1/3
sh515180,红利ETF易方达,旧档v3.3,2021-09-02,2026-08-26,long,30900,1.08,1.455,11574.01,34.72,1205,期末强制平仓
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2021-09-10,long,23100,1.08,1.18,2301.82,9.26,6,+8%卖25%
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2024-04-16,long,23100,1.08,1.25,3918.34,15.74,631,+15%卖25%
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2024-10-08,long,23100,1.08,1.48,9229.74,37.04,745,+25%卖25%
sh515180,红利ETF易方达,新档v3.4,2021-09-02,2024-10-10,long,23200,1.08,1.25,3935.3,15.74,747,奔跑仓出清(破20日线或回撤≥8%)
sh518880,黄金ETF,旧档v3.3,2021-09-02,2022-03-10,long,9000,3.69,3.89,1789.5,5.42,122,+10%卖1/3
sh518880,黄金ETF,旧档v3.3,2021-09-02,2023-07-20,long,9000,3.69,4.48,7097.9,21.41,453,+20%再卖1/3
sh518880,黄金ETF,旧档v3.3,2021-09-02,2026-08-26,long,9100,3.69,9.517,52999.72,157.91,1205,期末强制平仓
sh518880,黄金ETF,新档v3.4,2021-09-02,2022-03-09,long,6700,3.69,4.05,2403.86,9.76,121,+8%卖25%
sh518880,黄金ETF,新档v3.4,2021-09-02,2023-03-21,long,6700,3.69,4.32,4212.32,17.07,372,+15%卖25%
sh518880,黄金ETF,新档v3.4,2021-09-02,2023-11-01,long,6700,3.69,4.6,6087.75,24.66,521,+25%卖25%
sh518880,黄金ETF,新档v3.4,2021-09-02,2026-08-26,long,7000,3.69,9.517,40769.01,157.91,1205,期末强制平仓
sh513100,纳指ETF,旧档v3.3,2021-09-02,2023-07-20,long,32000,1.04,1.15,3508.96,10.58,452,+10%卖1/3
sh513100,纳指ETF,旧档v3.3,2021-09-02,2024-01-23,long,32000,1.04,1.28,7667.71,23.08,578,+20%再卖1/3
sh513100,纳指ETF,旧档v3.3,2021-09-02,2026-08-26,long,32100,1.04,2.203,37311.09,111.83,1204,期末强制平仓
sh513100,纳指ETF,新档v3.4,2021-09-02,2023-07-17,long,24000,1.04,1.13,2151.86,8.65,449,+8%卖25%
sh513100,纳指ETF,新档v3.4,2021-09-02,2023-12-15,long,24000,1.04,1.19,3591.43,14.42,552,+15%卖25%
sh513100,纳指ETF,新档v3.4,2021-09-02,2024-02-19,long,24000,1.04,1.3,6230.64,25.0,591,+25%卖25%
sh513100,纳指ETF,新档v3.4,2021-09-02,2024-03-20,long,24100,1.04,1.32,6738.46,26.92,613,奔跑仓出清(破20日线或回撤≥8%)
